target,window_index,unit,true_rul,pred_rul,true_fault,fault_probability,top_sensors,top_sensor_attributions,top_subsystems,suggested_actions
rul,5578,56,18.0,14.27608585357666,1.0,0.9513991475105286,s12;s2;s13,0.37056151;0.25959131;0.24711393,bypass and flow path;thermal core;spool speed control,inspect bypass flow and related instrumentation;inspect temperature instrumentation and hot-section condition;inspect speed-control response and operating point
rul,7708,76,17.0,18.26387596130371,1.0,0.9489261507987976,s9;s11;s12,0.27818701;0.22570036;0.22101158,high-pressure spool;bypass and flow path;bypass and flow path,inspect high-pressure spool dynamics;inspect bypass duct pressure behavior;inspect bypass flow and related instrumentation
rul,1854,20,16.0,15.58150577545166,1.0,0.9486846327781677,s12;s11;s2,0.45778278;0.45723534;0.36746991,bypass and flow path;bypass and flow path;thermal core,inspect bypass flow and related instrumentation;inspect bypass duct pressure behavior;inspect temperature instrumentation and hot-section condition
rul,8382,82,11.0,14.251847267150879,1.0,0.9486095309257507,s12;s11;s13,0.38063145;0.35989401;0.27475265,bypass and flow path;bypass and flow path;spool speed control,inspect bypass flow and related instrumentation;inspect bypass duct pressure behavior;inspect speed-control response and operating point
rul,4068,42,10.0,14.715700149536133,1.0,0.9468083381652832,s13;s12;s14,0.20759209;0.19822508;0.17418368,spool speed control;bypass and flow path;spool speed control,inspect speed-control response and operating point;inspect bypass flow and related instrumentation;inspect core-speed response and controller behavior
rul,6798,66,16.0,20.02492332458496,1.0,0.9454556107521057,s9;s14;s2,0.31321296;0.21338679;0.16147502,high-pressure spool;spool speed control;thermal core,inspect high-pressure spool dynamics;inspect core-speed response and controller behavior;inspect temperature instrumentation and hot-section condition
rul,2241,24,20.0,22.061368942260742,1.0,0.9435220956802368,s9;s14;s2,0.42886397;0.32471606;0.06958082,high-pressure spool;spool speed control;thermal core,inspect high-pressure spool dynamics;inspect core-speed response and controller behavior;inspect temperature instrumentation and hot-section condition
rul,6994,68,14.0,16.53083610534668,1.0,0.9430528879165649,s12;s11;s2,0.47045079;0.44810322;0.27775106,bypass and flow path;bypass and flow path;thermal core,inspect bypass flow and related instrumentation;inspect bypass duct pressure behavior;inspect temperature instrumentation and hot-section condition
rul,2965,31,13.0,17.238447189331055,1.0,0.9430160522460938,s12;s11;s2,0.39850658;0.35106161;0.30945697,bypass and flow path;bypass and flow path;thermal core,inspect bypass flow and related instrumentation;inspect bypass duct pressure behavior;inspect temperature instrumentation and hot-section condition
rul,4067,42,11.0,14.971026420593262,1.0,0.9418013691902161,s13;s12;s14,0.21648808;0.20022513;0.18174632,spool speed control;bypass and flow path;spool speed control,inspect speed-control response and operating point;inspect bypass flow and related instrumentation;inspect core-speed response and controller behavior
rul,3447,35,14.0,17.12021827697754,1.0,0.940680742263794,s12;s2;s11,0.50939345;0.44330508;0.40790835,bypass and flow path;thermal core;bypass and flow path,inspect bypass flow and related instrumentation;inspect temperature instrumentation and hot-section condition;inspect bypass duct pressure behavior
rul,10194,100,21.0,22.586002349853516,1.0,0.9383085370063782,s9;s14;s2,0.43029264;0.31555161;0.07969679,high-pressure spool;spool speed control;thermal core,inspect high-pressure spool dynamics;inspect core-speed response and controller behavior;inspect temperature instrumentation and hot-section condition
rul,4066,42,12.0,14.784958839416504,1.0,0.9359233379364014,s13;s14;s12,0.22631191;0.19542953;0.18904307,spool speed control;spool speed control;bypass and flow path,inspect speed-control response and operating point;inspect core-speed response and controller behavior;inspect bypass flow and related instrumentation
rul,6993,68,15.0,17.107633590698242,1.0,0.935745894908905,s12;s11;s2,0.50646359;0.48753062;0.28680521,bypass and flow path;bypass and flow path;thermal core,inspect bypass flow and related instrumentation;inspect bypass duct pressure behavior;inspect temperature instrumentation and hot-section condition
rul,8246,81,13.0,17.293508529663086,1.0,0.9349661469459534,s12;s2;s11,0.51545799;0.46378031;0.44382703,bypass and flow path;thermal core;bypass and flow path,inspect bypass flow and related instrumentation;inspect temperature instrumentation and hot-section condition;inspect bypass duct pressure behavior
rul,2240,24,21.0,22.813493728637695,1.0,0.9330859780311584,s9;s14;s2,0.44015706;0.33626425;0.06985167,high-pressure spool;spool speed control;thermal core,inspect high-pressure spool dynamics;inspect core-speed response and controller behavior;inspect temperature instrumentation and hot-section condition
rul,2964,31,14.0,18.174142837524414,1.0,0.9322742223739624,s12;s11;s2,0.43805081;0.36833218;0.32744357,bypass and flow path;bypass and flow path;thermal core,inspect bypass flow and related instrumentation;inspect bypass duct pressure behavior;inspect temperature instrumentation and hot-section condition
rul,5577,56,19.0,16.11309242248535,1.0,0.9317846894264221,s12;s13;s2,0.40515158;0.28513584;0.27210185,bypass and flow path;spool speed control;thermal core,inspect bypass flow and related instrumentation;inspect speed-control response and operating point;inspect temperature instrumentation and hot-section condition
rul,7705,76,20.0,20.349811553955078,1.0,0.9292899966239929,s9;s12;s11,0.29481730;0.26020539;0.25438979,high-pressure spool;bypass and flow path;bypass and flow path,inspect high-pressure spool dynamics;inspect bypass flow and related instrumentation;inspect bypass duct pressure behavior
rul,8381,82,12.0,15.937644004821777,1.0,0.9292594194412231,s11;s12;s13,0.41745484;0.41399094;0.32155615,bypass and flow path;bypass and flow path;spool speed control,inspect bypass duct pressure behavior;inspect bypass flow and related instrumentation;inspect speed-control response and operating point
rul,4064,42,14.0,15.401606559753418,1.0,0.9284302592277527,s13;s14;s12,0.23502572;0.21932705;0.17532425,spool speed control;spool speed control;bypass and flow path,inspect speed-control response and operating point;inspect core-speed response and controller behavior;inspect bypass flow and related instrumentation
rul,7707,76,18.0,19.996673583984375,1.0,0.9277083277702332,s9;s12;s11,0.30260998;0.22934887;0.22618611,high-pressure spool;bypass and flow path;bypass and flow path,inspect high-pressure spool dynamics;inspect bypass flow and related instrumentation;inspect bypass duct pressure behavior
rul,3275,34,13.0,17.04023551940918,1.0,0.9265080690383911,s12;s11;s13,0.42129797;0.39519119;0.37149870,bypass and flow path;bypass and flow path;spool speed control,inspect bypass flow and related instrumentation;inspect bypass duct pressure behavior;inspect speed-control response and operating point
rul,10193,100,22.0,23.38396644592285,1.0,0.926328718662262,s9;s14;s2,0.42525259;0.29609576;0.07939916,high-pressure spool;spool speed control;thermal core,inspect high-pressure spool dynamics;inspect core-speed response and controller behavior;inspect temperature instrumentation and hot-section condition
rul,7706,76,19.0,20.439912796020508,1.0,0.9251697063446045,s9;s11;s12,0.29359692;0.24435155;0.24106391,high-pressure spool;bypass and flow path;bypass and flow path,inspect high-pressure spool dynamics;inspect bypass duct pressure behavior;inspect bypass flow and related instrumentation
rul,4065,42,13.0,15.59609317779541,1.0,0.9246279001235962,s13;s14;s12,0.22763246;0.19717012;0.18604538,spool speed control;spool speed control;bypass and flow path,inspect speed-control response and operating point;inspect core-speed response and controller behavior;inspect bypass flow and related instrumentation
rul,1853,20,17.0,17.545297622680664,1.0,0.9233221411705017,s12;s11;s2,0.53679085;0.51815635;0.42069760,bypass and flow path;bypass and flow path;thermal core,inspect bypass flow and related instrumentation;inspect bypass duct pressure behavior;inspect temperature instrumentation and hot-section condition
rul,6797,66,17.0,21.57283592224121,1.0,0.9222198128700256,s9;s14;s2,0.34857064;0.25117138;0.17637376,high-pressure spool;spool speed control;thermal core,inspect high-pressure spool dynamics;inspect core-speed response and controller behavior;inspect temperature instrumentation and hot-section condition
rul,3446,35,15.0,18.320457458496094,1.0,0.920543909072876,s12;s2;s11,0.53228939;0.46466246;0.43066609,bypass and flow path;thermal core;bypass and flow path,inspect bypass flow and related instrumentation;inspect temperature instrumentation and hot-section condition;inspect bypass duct pressure behavior
rul,8245,81,14.0,18.293350219726562,1.0,0.9190183877944946,s12;s2;s11,0.54555118;0.49768904;0.44410467,bypass and flow path;thermal core;bypass and flow path,inspect bypass flow and related instrumentation;inspect temperature instrumentation and hot-section condition;inspect bypass duct pressure behavior
rul,8244,81,15.0,18.234769821166992,1.0,0.9178625345230103,s12;s2;s11,0.53813428;0.49898142;0.45120430,bypass and flow path;thermal core;bypass and flow path,inspect bypass flow and related instrumentation;inspect temperature instrumentation and hot-section condition;inspect bypass duct pressure behavior
rul,7704,76,21.0,21.130605697631836,1.0,0.9173076748847961,s9;s12;s11,0.30128261;0.27772138;0.25805929,high-pressure spool;bypass and flow path;bypass and flow path,inspect high-pressure spool dynamics;inspect bypass flow and related instrumentation;inspect bypass duct pressure behavior
rul,10192,100,23.0,24.047304153442383,1.0,0.9160212874412537,s9;s14;s2,0.42648259;0.31012943;0.07144292,high-pressure spool;spool speed control;thermal core,inspect high-pressure spool dynamics;inspect core-speed response and controller behavior;inspect temperature instrumentation and hot-section condition
rul,5576,56,20.0,17.499868392944336,1.0,0.9156878590583801,s12;s13;s11,0.42665100;0.31339112;0.27768096,bypass and flow path;spool speed control;bypass and flow path,inspect bypass flow and related instrumentation;inspect speed-control response and operating point;inspect bypass duct pressure behavior
rul,2963,31,15.0,19.918968200683594,1.0,0.9109408855438232,s12;s11;s2,0.44464901;0.40949726;0.35771701,bypass and flow path;bypass and flow path;thermal core,inspect bypass flow and related instrumentation;inspect bypass duct pressure behavior;inspect temperature instrumentation and hot-section condition
rul,2239,24,22.0,24.33854103088379,1.0,0.9105482697486877,s9;s14;s2,0.44389769;0.32843220;0.07623363,high-pressure spool;spool speed control;thermal core,inspect high-pressure spool dynamics;inspect core-speed response and controller behavior;inspect temperature instrumentation and hot-section condition
rul,2962,31,16.0,20.10130500793457,1.0,0.9092984199523926,s11;s12;s2,0.44517326;0.44225654;0.36901686,bypass and flow path;bypass and flow path;thermal core,inspect bypass duct pressure behavior;inspect bypass flow and related instrumentation;inspect temperature instrumentation and hot-section condition
rul,4063,42,15.0,16.897153854370117,1.0,0.9081571102142334,s13;s14;s12,0.26990318;0.25309682;0.18990526,spool speed control;spool speed control;bypass and flow path,inspect speed-control response and operating point;inspect core-speed response and controller behavior;inspect bypass flow and related instrumentation
rul,5575,56,21.0,18.042726516723633,1.0,0.9076610803604126,s12;s13;s11,0.46341604;0.31892148;0.27895138,bypass and flow path;spool speed control;bypass and flow path,inspect bypass flow and related instrumentation;inspect speed-control response and operating point;inspect bypass duct pressure behavior
rul,8242,81,17.0,19.155649185180664,1.0,0.9055777192115784,s12;s2;s11,0.56597215;0.51710147;0.49403819,bypass and flow path;thermal core;bypass and flow path,inspect bypass flow and related instrumentation;inspect temperature instrumentation and hot-section condition;inspect bypass duct pressure behavior
rul,2961,31,17.0,20.22287368774414,1.0,0.9051230549812317,s11;s12;s2,0.46348211;0.42464897;0.38821641,bypass and flow path;bypass and flow path;thermal core,inspect bypass duct pressure behavior;inspect bypass flow and related instrumentation;inspect temperature instrumentation and hot-section condition
rul,6991,68,17.0,19.418642044067383,1.0,0.9035786390304565,s12;s11;s2,0.55353820;0.49392268;0.33786586,bypass and flow path;bypass and flow path;thermal core,inspect bypass flow and related instrumentation;inspect bypass duct pressure behavior;inspect temperature instrumentation and hot-section condition
rul,3445,35,16.0,19.076066970825195,1.0,0.9023459553718567,s12;s2;s11,0.53314936;0.47857091;0.44959545,bypass and flow path;thermal core;bypass and flow path,inspect bypass flow and related instrumentation;inspect temperature instrumentation and hot-section condition;inspect bypass duct pressure behavior
rul,8241,81,18.0,19.347646713256836,1.0,0.9020925164222717,s12;s2;s11,0.58798444;0.50707823;0.49533069,bypass and flow path;thermal core;bypass and flow path,inspect bypass flow and related instrumentation;inspect temperature instrumentation and hot-section condition;inspect bypass duct pressure behavior
rul,2238,24,23.0,24.940595626831055,1.0,0.901604175567627,s9;s14;s2,0.44204471;0.33487421;0.07606551,high-pressure spool;spool speed control;thermal core,inspect high-pressure spool dynamics;inspect core-speed response and controller behavior;inspect temperature instrumentation and hot-section condition
rul,6992,68,16.0,19.38641929626465,1.0,0.9016017317771912,s12;s11;s2,0.56493783;0.51348537;0.32418293,bypass and flow path;bypass and flow path;thermal core,inspect bypass flow and related instrumentation;inspect bypass duct pressure behavior;inspect temperature instrumentation and hot-section condition
rul,3270,34,18.0,17.6790714263916,1.0,0.8985061645507812,s11;s12;s13,0.42429879;0.37943703;0.36362261,bypass and flow path;bypass and flow path;spool speed control,inspect bypass duct pressure behavior;inspect bypass flow and related instrumentation;inspect speed-control response and operating point
rul,5574,56,22.0,18.673845291137695,1.0,0.8965793251991272,s12;s13;s11,0.48418796;0.34407485;0.28546801,bypass and flow path;spool speed control;bypass and flow path,inspect bypass flow and related instrumentation;inspect speed-control response and operating point;inspect bypass duct pressure behavior
rul,8380,82,13.0,18.29386329650879,1.0,0.8961510062217712,s11;s12;s13,0.47421896;0.46445256;0.36475801,bypass and flow path;bypass and flow path;spool speed control,inspect bypass duct pressure behavior;inspect bypass flow and related instrumentation;inspect speed-control response and operating point
rul,8243,81,16.0,19.56333351135254,1.0,0.8954169750213623,s12;s2;s11,0.55029762;0.52542102;0.50899339,bypass and flow path;thermal core;bypass and flow path,inspect bypass flow and related instrumentation;inspect temperature instrumentation and hot-section condition;inspect bypass duct pressure behavior
rul,9192,91,39.0,18.5765438079834,0.0,0.8953427076339722,s12;s13;s2,0.56417209;0.36801556;0.36585659,bypass and flow path;spool speed control;thermal core,inspect bypass flow and related instrumentation;inspect speed-control response and operating point;inspect temperature instrumentation and hot-section condition
rul,10191,100,24.0,25.36007308959961,1.0,0.8925230503082275,s9;s14;s8,0.43219423;0.31805897;0.07826559,high-pressure spool;spool speed control;fan and low-pressure compressor,inspect high-pressure spool dynamics;inspect core-speed response and controller behavior;inspect fan/LPC operating margins
rul,3269,34,19.0,17.511327743530273,1.0,0.8910419344902039,s11;s12;s13,0.42052701;0.40393627;0.37999591,bypass and flow path;bypass and flow path;spool speed control,inspect bypass duct pressure behavior;inspect bypass flow and related instrumentation;inspect speed-control response and operating point
rul,6796,66,18.0,23.18488883972168,1.0,0.8875260949134827,s9;s14;s2,0.36554348;0.25778571;0.18323909,high-pressure spool;spool speed control;thermal core,inspect high-pressure spool dynamics;inspect core-speed response and controller behavior;inspect temperature instrumentation and hot-section condition
rul,9193,91,38.0,19.036029815673828,0.0,0.8850482702255249,s12;s2;s11,0.53496957;0.36413378;0.36323786,bypass and flow path;thermal core;bypass and flow path,inspect bypass flow and related instrumentation;inspect temperature instrumentation and hot-section condition;inspect bypass duct pressure behavior
rul,2237,24,24.0,25.66340446472168,1.0,0.884899914264679,s9;s14;s2,0.45052242;0.35356793;0.06631754,high-pressure spool;spool speed control;thermal core,inspect high-pressure spool dynamics;inspect core-speed response and controller behavior;inspect temperature instrumentation and hot-section condition
rul,3274,34,14.0,19.211271286010742,1.0,0.8828174471855164,s12;s13;s11,0.45302802;0.45219189;0.44236618,bypass and flow path;spool speed control;bypass and flow path,inspect bypass flow and related instrumentation;inspect speed-control response and operating point;inspect bypass duct pressure behavior
rul,9191,91,40.0,19.35456657409668,0.0,0.881503164768219,s12;s2;s13,0.55612195;0.38555521;0.37886983,bypass and flow path;thermal core;spool speed control,inspect bypass flow and related instrumentation;inspect temperature instrumentation and hot-section condition;inspect speed-control response and operating point
rul,4061,42,17.0,18.013399124145508,1.0,0.8804788589477539,s14;s13;s12,0.28037089;0.25590843;0.22244647,spool speed control;spool speed control;bypass and flow path,inspect core-speed response and controller behavior;inspect speed-control response and operating point;inspect bypass flow and related instrumentation
rul,3271,34,17.0,19.156965255737305,1.0,0.8789794445037842,s11;s13;s12,0.45481902;0.41586798;0.40093815,bypass and flow path;spool speed control;bypass and flow path,inspect bypass duct pressure behavior;inspect speed-control response and operating point;inspect bypass flow and related instrumentation
rul,5573,56,23.0,19.700834274291992,1.0,0.8774242997169495,s12;s13;s11,0.49225435;0.36570203;0.30655396,bypass and flow path;spool speed control;bypass and flow path,inspect bypass flow and related instrumentation;inspect speed-control response and operating point;inspect bypass duct pressure behavior
rul,3267,34,21.0,18.192461013793945,1.0,0.8755582571029663,s12;s11;s8,0.40686652;0.39844722;0.36086649,bypass and flow path;bypass and flow path;fan and low-pressure compressor,inspect bypass flow and related instrumentation;inspect bypass duct pressure behavior;inspect fan/LPC operating margins
rul,3268,34,20.0,18.20045280456543,1.0,0.8735969066619873,s11;s12;s13,0.41795653;0.41529605;0.38945618,bypass and flow path;bypass and flow path;spool speed control,inspect bypass duct pressure behavior;inspect bypass flow and related instrumentation;inspect speed-control response and operating point
rul,3444,35,17.0,20.407732009887695,1.0,0.873322069644928,s12;s11;s2,0.54713541;0.48679316;0.48466027,bypass and flow path;bypass and flow path;thermal core,inspect bypass flow and related instrumentation;inspect bypass duct pressure behavior;inspect temperature instrumentation and hot-section condition
rul,8240,81,19.0,20.526063919067383,1.0,0.8726794123649597,s12;s2;s11,0.62088472;0.52772564;0.49832636,bypass and flow path;thermal core;bypass and flow path,inspect bypass flow and related instrumentation;inspect temperature instrumentation and hot-section condition;inspect bypass duct pressure behavior
rul,6989,68,19.0,21.716644287109375,1.0,0.8725688457489014,s12;s11;s2,0.52679139;0.52322078;0.36940452,bypass and flow path;bypass and flow path;thermal core,inspect bypass flow and related instrumentation;inspect bypass duct pressure behavior;inspect temperature instrumentation and hot-section condition
rul,4062,42,16.0,19.028717041015625,1.0,0.8689743280410767,s13;s14;s12,0.28288344;0.27892923;0.23065569,spool speed control;spool speed control;bypass and flow path,inspect speed-control response and operating point;inspect core-speed response and controller behavior;inspect bypass flow and related instrumentation
